tract,neighborhood,note
101.02,North Beach,empty
101.01,North Beach,empty
106.0,North Beach,empty
104.02,North Beach,empty
104.01,North Beach,empty
312.02,Oceanview/Merced/Ingleside,empty
312.01,Oceanview/Merced/Ingleside,empty
314.02,Oceanview/Merced/Ingleside,empty
314.01,Oceanview/Merced/Ingleside,empty
313.01,Oceanview/Merced/Ingleside,empty
313.02,Oceanview/Merced/Ingleside,empty
262.01,Outer Mission,empty
261.0,Outer Mission,empty
255.02,Outer Mission,empty
262.02,Outer Mission,empty
255.01,Outer Mission,empty
476.0,Outer Richmond,empty
479.04,Outer Richmond,empty
478.01,Outer Richmond,empty
426.02,Outer Richmond,empty
426.01,Outer Richmond,empty
479.03,Outer Richmond,empty
479.02,Outer Richmond,empty
427.0,Outer Richmond,empty
477.01,Outer Richmond,empty
478.02,Outer Richmond,empty
477.02,Outer Richmond,empty
153.0,Pacific Heights,empty
152.01,Pacific Heights,empty
135.0,Pacific Heights,empty
134.02,Pacific Heights,empty
134.01,Pacific Heights,empty
132.0,Pacific Heights,empty
131.02,Pacific Heights,empty
131.01,Pacific Heights,empty
152.02,Pacific Heights,empty
259.0,Portola,empty
258.0,Portola,empty
257.02,Portola,empty
257.01,Portola,empty
614.02,Potrero Hill,empty
614.01,Potrero Hill,empty
227.02,Potrero Hill,empty
226.0,Potrero Hill,empty
227.04,Potrero Hill,empty
601.0,Presidio,empty
154.02,Presidio Heights,empty
154.01,Presidio Heights,empty
133.0,Presidio Heights,empty
110.02,Russian Hill,empty
110.01,Russian Hill,empty
109.02,Russian Hill,empty
103.0,Russian Hill,empty
102.02,Russian Hill,empty
102.01,Russian Hill,empty
109.01,Russian Hill,empty
428.0,Seacliff,empty
178.01,South of Market,empty
180.0,South of Market,empty
178.04,South of Market,empty
178.03,South of Market,empty
176.04,South of Market,empty
176.03,South of Market,empty
176.02,South of Market,empty
353.0,Sunset/Parkside,empty
352.02,Sunset/Parkside,empty
352.01,Sunset/Parkside,empty
351.02,Sunset/Parkside,empty
351.01,Sunset/Parkside,empty
354.0,Sunset/Parkside,empty
326.01,Sunset/Parkside,empty
331.0,Sunset/Parkside,empty
330.02,Sunset/Parkside,empty
330.01,Sunset/Parkside,empty
328.01,Sunset/Parkside,empty
327.0,Sunset/Parkside,empty
326.02,Sunset/Parkside,empty
329.01,Sunset/Parkside,empty
329.02,Sunset/Parkside,empty
328.02,Sunset/Parkside,empty
124.03,Tenderloin,empty
123.02,Tenderloin,empty
125.04,Tenderloin,empty
125.03,Tenderloin,empty
125.02,Tenderloin,empty
124.06,Tenderloin,empty
124.05,Tenderloin,empty
124.04,Tenderloin,empty
123.01,Tenderloin,empty
122.03,Tenderloin,empty
122.02,Tenderloin,empty
122.04,Tenderloin,empty
9804.01,The Farallones,empty
179.03,Treasure Island,empty
305.0,Twin Peaks,empty
204.02,Twin Peaks,empty
605.02,Visitacion Valley,empty
264.04,Visitacion Valley,empty
264.03,Visitacion Valley,empty
264.02,Visitacion Valley,empty
264.01,Visitacion Valley,empty
304.0,West of Twin Peaks,empty
311.0,West of Twin Peaks,empty
310.0,West of Twin Peaks,empty
309.0,West of Twin Peaks,empty
308.0,West of Twin Peaks,empty
307.0,West of Twin Peaks,empty
306.0,West of Twin Peaks,empty
161.02,Western Addition,empty
161.01,Western Addition,empty
160.0,Western Addition,empty
159.0,Western Addition,empty
158.02,Western Addition,empty
158.01,Western Addition,empty
151.0,Western Addition,empty
