name,size,description,change,department_code
flare.Culture & Recreation.Recreation & Park Commission,254873111.0,"Provides the city's parks, playgrounds, and open spaces, as well as enriching recreational activities.",-3.1270493365669276,REC
flare.Welfare & Neighborhood Development.Rent Arbitration Board,13812353.0,"Aims to protect tenants from excessive rent increases and unjust evictions, while assuring landlords fair rents.",-22.075152453653192,RNT
flare.Administration & Finance.Retirement System,54824818.0,Works to secure and prudently invest the city's pension trust accounts and provide promised benefits.,6.519035165348304,RET
flare.Public Protection.Sheriff Department Office Inspector General,1303559.0,Provides independent civilian oversight of the Sheriff's Office.,-25.796196110040942,SDA
flare.Public Protection.Sheriff,323076630.0,"Operates jails and alternative sentencing programs, guards courthouses, and executes warrants.",11.017326202758719,SHF
flare.Welfare & Neighborhood Development.Status of Women,11909801.0,"Aims to make the city fully gender equitable through policies, programs, and legislation.",-14.726200658688457,WOM
flare.Public Protection.Superior Court,32956944.0,"Aims to assure equal access, fair treatment, and the just and efficient resolution of disputes for all people asserting their rights under the law in the city.",0.5338304525198383,CRT
flare.Administration & Finance.Treasurer-Tax Collector,49013115.0,"The banker, tax collector, collection agent, and investment officer for the city.",-3.0542497754031768,TTX
flare.Culture & Recreation.War Memorial,30516780.0,"The War Memorial and Performing Arts Center operates venues for culture, education, and entertainment.",-18.93626785964411,WAR
flare.Welfare & Neighborhood Development,,,,
flare.Welfare & Neighborhood Development.Child Support Services,,,,
flare.Welfare & Neighborhood Development.Dept of Early Childhood,,,,
flare.Welfare & Neighborhood Development.Environment,,,,
"flare.Welfare & Neighborhood Development.Children, Youth & Families",,,,
flare.Welfare & Neighborhood Development.Human Rights Commission,,,,
flare.Welfare & Neighborhood Development.Human Services Agency,,,,
flare.Welfare & Neighborhood Development.Homelessness Services,,,,
flare.Welfare & Neighborhood Development.Status of Women,,,,
flare.Welfare & Neighborhood Development.Rent Arbitration Board,,,,
flare.Administration & Finance,,,,
flare.Administration & Finance.Controller,,,,
flare.Administration & Finance.Elections,,,,
flare.Administration & Finance.City Planning,,,,
flare.Administration & Finance.Mayor,,,,
flare.Administration & Finance.Human Resources,,,,
flare.Administration & Finance.Retirement System,,,,
flare.Administration & Finance.City Attorney,,,,
flare.Administration & Finance.Health Service System,,,,
flare.Administration & Finance.GSA - City Administrator,,,,
flare.Administration & Finance.Civil Service Commission,,,,
flare.Administration & Finance.Ethics Commission,,,,
flare.Administration & Finance.Board of Supervisors,,,,
flare.Administration & Finance.GSA - Technology,,,,
flare.Administration & Finance.Assessor - Recorder,,,,
flare.Administration & Finance.Treasurer-Tax Collector,,,,
flare.Health,,,,
flare.Health.Public Health,,,,
flare.Culture & Recreation,,,,
flare.Culture & Recreation.Arts Commission,,,,
flare.Culture & Recreation.War Memorial,,,,
flare.Culture & Recreation.Academy of Sciences,,,,
flare.Culture & Recreation.Fine Arts Museum,,,,
flare.Culture & Recreation.Public Library,,,,
flare.Culture & Recreation.Asian Art Museum,,,,
flare.Culture & Recreation.Law Library,,,,
flare.General City Responsibilities,,,,
flare.General City Responsibilities.General City - Unallocated,,,,
"flare.Public Works, Transportation & Commerce",,,,
"flare.Public Works, Transportation & Commerce.Building Inspection",,,,
"flare.Public Works, Transportation & Commerce.Port",,,,
"flare.Public Works, Transportation & Commerce.Municipal Transportation Agency",,,,
"flare.Public Works, Transportation & Commerce.Public Works",,,,
"flare.Public Works, Transportation & Commerce.Board of Appeals",,,,
"flare.Public Works, Transportation & Commerce.Airport Commission",,,,
"flare.Public Works, Transportation & Commerce.Economic & Workforce Development",,,,
"flare.Public Works, Transportation & Commerce.Recreation & Park Commission",,,,
"flare.Public Works, Transportation & Commerce.Public Utilities Commission",,,,
flare.Public Protection,,,,
flare.Public Protection.Sheriff Department Office Inspector General,,,,
flare.Public Protection.Superior Court,,,,
flare.Public Protection.Police,,,,
flare.Public Protection.Police Accountability,,,,
flare.Public Protection.Public Defender,,,,
flare.Public Protection.Juvenile Probation,,,,
flare.Public Protection.Sheriff,,,,
flare.Public Protection.Fire Department,,,,
flare.Public Protection.Adult Probation,,,,
flare.Public Protection.District Attorney,,,,
flare.Public Protection.Emergency Management,,,,
